SOURCE,FROM_LINK,TO_LINK,SOURCE,FROM_PAGENO,TO_PAGENO
1880-81,http://link.nypl.org/nZknoFnZRHC1eN9aBw1NoQ7,http://link.nypl.org/BC1qiv1TTgiAq0jtdFWXzgv,,,
1880-81,http://link.nypl.org/IVQEm7TFTlmmdsQzI84nCQU,http://link.nypl.org/GtJY-INxQISyKVOWh16ypAP,,,
1880-81,http://link.nypl.org/H3mdhXWJThWQPujmaARIEgL,http://link.nypl.org/jOMhC_aWTZCKVRAxuYJzKQ-,,,
1880-81,http://link.nypl.org/tldtIhAzQr6PwJqo9_EVvAJ,http://link.nypl.org/kz7fAiv0SMesYGeuwV8vVw0,,,
1881-82,http://link.nypl.org/Qj0p4GHuSK-KQaA7qWlgMwe,http://link.nypl.org/duiCIngiTmqPw_iOawSYqgn,,,
1881-82,http://link.nypl.org/12N080AeS0G6ojiwvAkx-wK,http://link.nypl.org/yLwBs10xTEOuH832ZhbjngI,,,
1909-10,http://link.nypl.org/lLO-ey2NQ1WBaGfqYgdbWg3,http://link.nypl.org/wMuMfobBTge13VY0vtd2SQg,,,
MN_year,FROM_LINK,TO_LINK,BK_year,FROM_PAGENO,TO_PAGENO
1850-51,http://link.nypl.org/YaM1vgXiR9ivhW3dG5ai-wv,http://link.nypl.org/N5yYkitXTRiiR9kdl3B73ww,,,
1850-51,http://link.nypl.org/lbOn3RV_Q8ao5uDxg9PNiwk,http://link.nypl.org/yfFajz9RTomv_1F9gFzMRQ1,,,
1850-51,http://link.nypl.org/EL4H9ZK_TXaBn8mnm9M_Ygx,http://link.nypl.org/KrTYtiqET4yAUGKFItnM7wQ,,,
1850-51,http://link.nypl.org/v4z9ciN6QdaIT5y5fC-nggf,http://link.nypl.org/Of1EWKi1Sc-TLOQ9Y-5UaQw,,,
1850-51,http://link.nypl.org/doVkWtZkReafMWmnTGplCg5,http://link.nypl.org/BZGOAF_tT8S84PMhhFLi-Qy,,,
